student No,Title,firstName ,lastName,gender,address,mobileNumber,homeNumber, email, institute ,grade
S0001,Mr,John,Doe1,male,australia,987654321,000-000-000,dummyemail@email.com,act,begineer
S0002,Mr,Sheen,D,male,australia,987654321,000-000-001,dummyemail@email.com,act,begineer
S0003,Mr,Mark,Webber,male,australia,987654321,000-000-002,dummyemail@email.com,act,begineer
S0004,Mr,Eric,smith,male,australia,987654321,000-000-003,dummyemail@email.com,act,begineer
S0005,Mr,Larry,Page,male,australia,987654321,000-000-004,dummyemail@email.com,act,begineer
S0006,Mr,Mark,z,male,australia,987654321,000-000-005,dummyemail@email.com,act,begineer
S0007,Mr,william,s,male,australia,987654321,000-000-006,dummyemail@email.com,act,begineer
S0008,Mr,bill,G,male,australia,987654321,000-000-007,dummyemail@email.com,act,begineer
S0009,Mr,ricky,p,male,australia,987654321,000-000-008,dummyemail@email.com,act,begineer
S0010,Mrs,emma,Webber,female,australia,987654321,000-000-009,dummyemail@email.com,act,begineer
233320,Mr,Pritesh,Gupta,Male,ADDRESS555,5555,9090,priteshgg777@yahoo.com,institue,C
ssss233320,Mr,Pritesh,Gupta,female,ADDRESS555,5555,9090,priteshgg777@yahoo.com,institue,B
1,a,b,c,Male,f,657575,f,dfg@gmail.co,fg,A
1,a,d,d,Male,d,56756567,f,dfg@gmail.co,dds,A
ssq11,Mr,sss,Gupta,female,ADDRESS555,5555,9090,priteshgg777@yahoo.com,institue,C
